##mBInventory;;;;;;;
code;name;category;quantity;cost;active;visible;unit
INVENTORY-STABILISATEUR;Stabilisateur;categorie-icizanye-hebergement;2;300000;TRUE;TRUE;piece
INVENTORY-ROUTEUR;Routeur;categorie-icizanye-hebergement;3;450000;TRUE;TRUE;piece
INVENTORY-MOUSTIQUAIRE;Moustiquaire;categorie-icizanye-hebergement;25;1500000;TRUE;TRUE;piece
INVENTORY-TELEPHONE_FIXE;Telephone fixe;categorie-icizanye-hebergement;15;2700000;TRUE;TRUE;piece
INVENTORY-CHAISE;Chaise;categorie-icizanye-hebergement;51;3570000;TRUE;TRUE;piece
INVENTORY-TAPIS;Tapis;categorie-icizanye-hebergement;44;660000;TRUE;TRUE;piece
INVENTORY-SEAUX;Seaux;categorie-icizanye-hebergement;37;444000;TRUE;TRUE;piece
INVENTORY-BABOUCHE;Babouche;categorie-icizanye-hebergement;25;100000;TRUE;TRUE;piece
INVENTORY-ALLONGES;Allonges;categorie-icizanye-hebergement;7;140000;TRUE;TRUE;piece
INVENTORY-CONTRE_FAUTEUIL;Contre fauteuil;categorie-icizanye-hebergement;3;15000;TRUE;TRUE;piece
INVENTORY-GRAND_BASSIN;Grand bassin;categorie-icizanye-hebergement;5;175000;TRUE;TRUE;piece
INVENTORY-FAIRE_A_REPASSER;Faire a repasser;categorie-icizanye-hebergement;2;130000;TRUE;TRUE;piece
INVENTORY-POUBELLES;Poubelles;categorie-icizanye-hebergement;25;375000;TRUE;TRUE;piece
INVENTORY-FRIGOT;Frigot;categorie-icizanye-hebergement;1;2000000;TRUE;TRUE;piece
INVENTORY-TE_OREILLE;Té oreille;categorie-icizanye-hebergement;39;195000;TRUE;TRUE;piece
INVENTORY-DECODEUR;Decodeur;categorie-icizanye-hebergement;6;420000;TRUE;TRUE;piece
INVENTORY-RIDEAUX;Rideaux ;categorie-icizanye-hebergement;67;2512000;TRUE;TRUE;piece
INVENTORY-RIDEAUX_DU_JOUR;Rideaux du jour;categorie-icizanye-hebergement;6;360000;TRUE;TRUE;piece
INVENTORY-PORTE_MENTAUX;Porte mentaux;categorie-icizanye-hebergement;51;300000;TRUE;TRUE;piece
INVENTORY-PORTE_RIDEAU;Porte rideau;categorie-icizanye-hebergement;27;2160000;TRUE;TRUE;piece
INVENTORY-MALES;Males;categorie-icizanye-hebergement;3;180000;TRUE;TRUE;piece
INVENTORY-EXTINCTEUR;Extincteur;categorie-icizanye-hebergement;2;640000;TRUE;TRUE;piece
INVENTORY-ORDINATEUR_DE_BUREAU;Ordinateur de bureau;categorie-icizanye-hebergement;1;300000;TRUE;TRUE;piece
INVENTORY-PHOTOCOPIEUSE;Photocopieuse;categorie-icizanye-hebergement;1;3000000;TRUE;TRUE;piece
INVENTORY-CENTRAL_TELEPHONIQUE;Central telephonique;categorie-icizanye-hebergement;1;11200000;TRUE;TRUE;piece
INVENTORY-BAGAGE_EAU;Bagage eau;categorie-icizanye-hebergement;6;840000;TRUE;TRUE;piece
INVENTORY-COUVRE-LITS;Couvre-lits;categorie-icizanye-hebergement;27;5400000;TRUE;TRUE;piece
INVENTORY-ETAGERE;Etagere;categorie-icizanye-hebergement;1;150000;TRUE;TRUE;piece
INVENTORY-IMPRIMANTE;Imprimante;categorie-icizanye-hebergement;2;800000;TRUE;TRUE;piece
INVENTORY-TABLE;Table;categorie-icizanye-hebergement;40;800000;TRUE;TRUE;piece
INVENTORY-TELECOMMANDE;Telecommande;categorie-icizanye-hebergement;15;300000;TRUE;TRUE;piece
INVENTORY-CONTOIRE;Contoire;categorie-icizanye-hebergement;1;1500000;TRUE;TRUE;piece
;;;;;;;
;;;;;;;
##mBInventory;;;;;;;
code;name;category;quantity;cost;active;visible;unit
INVENTORY-ASSIETTE;Assiette;categorie-kugatumba-cuisine;196;1960000;TRUE;TRUE;piece
INVENTORY-FLUTEUSES;Fluteuses;categorie-kugatumba-cuisine;4;1000000;TRUE;TRUE;piece
INVENTORY-BASSINS-G;Bassins G;categorie-kugatumba-cuisine;8;280000;TRUE;TRUE;piece
INVENTORY-TAMIS;Tamis;categorie-kugatumba-cuisine;11;;TRUE;TRUE;piece
INVENTORY-IMBABURA;Imbabura;categorie-kugatumba-cuisine;7;105000;TRUE;TRUE;piece
INVENTORY-ISAFURIYA;Isafuriya;categorie-kugatumba-cuisine;11;220000;TRUE;TRUE;piece
INVENTORY-IKARAYI;Ikarayi;categorie-kugatumba-cuisine;6;90000;TRUE;TRUE;piece
INVENTORY-MIXEUR;Mixeur;categorie-kugatumba-cuisine;1;180000;TRUE;TRUE;piece
INVENTORY-CONGELATEUR;Congelateur;categorie-kugatumba-cuisine;2;1000000;TRUE;TRUE;piece
INVENTORY-CUISINIERE;Cuisiniere a gaz;categorie-kugatumba-cuisine;1;4700000;TRUE;TRUE;piece
INVENTORY-BALANCE;Balance;categorie-kugatumba-cuisine;2;90000;TRUE;TRUE;piece
INVENTORY-PLANCHES;Planches;categorie-kugatumba-cuisine;3;75000;TRUE;TRUE;piece
INVENTORY-PALLETTE;Pallette;categorie-kugatumba-cuisine;6;120000;TRUE;TRUE;piece
INVENTORY-IPANU;Ipanu;categorie-kugatumba-cuisine;6;180000;TRUE;TRUE;piece
INVENTORY-BASSIN_P;Bassin P;categorie-kugatumba-cuisine;13;52000;TRUE;TRUE;piece
INVENTORY-IBIRIKA;Ibirika;categorie-kugatumba-cuisine;12;60000;TRUE;TRUE;piece
